industry_id,industry_code,industry_description
289,332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing"
290,332811,Metal Heat Treating
291,332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers"
292,332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring"
293,332911,Industrial Valve Manufacturing
294,332912,Fluid Power Valve and Hose Fitting Manufacturing
295,332913,Plumbing Fixture Fitting and Trim Manufacturing
296,332919,Other Metal Valve and Pipe Fitting Manufacturing
297,332991,Ball and Roller Bearing Manufacturing
298,332992,Small Arms Ammunition Manufacturing
299,332993,Ammunition (except Small Arms) Manufacturing
300,332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing"
301,332996,Fabricated Pipe and Pipe Fitting Manufacturing
302,332999,All Other Miscellaneous Fabricated Metal Product Manufacturing
303,333111,Farm Machinery and Equipment Manufacturing
304,333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing
305,333120,Construction Machinery Manufacturing
306,333131,Mining Machinery and Equipment Manufacturing
307,333132,Oil and Gas Field Machinery and Equipment Manufacturing
308,333241,Food Product Machinery Manufacturing
309,333242,Semiconductor Machinery Manufacturing
310,333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing"
311,333248,All Other Industrial Machinery Manufacturing
312,333310,Commercial and Service Industry Machinery Manufacturing
313,333413,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing
314,333414,Heating Equipment (except Warm Air Furnaces) Manufacturing
315,333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing
316,333511,Industrial Mold Manufacturing
317,333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing"
318,333515,Cutting Tool and Machine Tool Accessory Manufacturing
319,333517,Machine Tool Manufacturing
320,333519,Rolling Mill and Other Metalworking Machinery Manufacturing
321,333611,Turbine and Turbine Generator Set Units Manufacturing
322,333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing"
323,333613,Mechanical Power Transmission Equipment Manufacturing
324,333618,Other Engine Equipment Manufacturing
325,333912,Air and Gas Compressor Manufacturing
326,333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing"
327,333921,Elevator and Moving Stairway Manufacturing
328,333922,Conveyor and Conveying Equipment Manufacturing
329,333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing"
330,333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing"
331,333991,Power-Driven Handtool Manufacturing
332,333992,Welding and Soldering Equipment Manufacturing
333,333993,Packaging Machinery Manufacturing
334,333994,Industrial Process Furnace and Oven Manufacturing
335,333995,Fluid Power Cylinder and Actuator Manufacturing
336,333996,Fluid Power Pump and Motor Manufacturing
337,333998,All Other Miscellaneous General Purpose Machinery Manufacturing
338,334111,Electronic Computer Manufacturing
339,334112,Computer Storage Device Manufacturing
340,334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing
341,334210,Telephone Apparatus Manufacturing
342,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing
343,334290,Other Communications Equipment Manufacturing
344,334310,Audio and Video Equipment Manufacturing
345,334412,Bare Printed Circuit Board Manufacturing
346,334413,Semiconductor and Related Device Manufacturing
347,334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing"
348,334417,Electronic Connector Manufacturing
349,334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing
350,334419,Other Electronic Component Manufacturing
351,334510,Electromedical and Electrotherapeutic Apparatus Manufacturing
352,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing"
353,334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use"
354,334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables"
355,334514,Totalizing Fluid Meter and Counting Device Manufacturing
356,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals
357,334516,Analytical Laboratory Instrument Manufacturing
358,334517,Irradiation Apparatus Manufacturing
359,334519,Other Measuring and Controlling Device Manufacturing
360,334610,Manufacturing and Reproducing Magnetic and Optical Media
361,335131,Residential Electric Lighting Fixture Manufacturing
362,335132,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing"
363,335139,Electric Lamp Bulb and Other Lighting Equipment Manufacturing
364,335210,Small Electrical Appliance Manufacturing
365,335220,Major Household Appliance Manufacturing
366,335311,"Power, Distribution, and Specialty Transformer Manufacturing"
367,335312,Motor and Generator Manufacturing
368,335313,Switchgear and Switchboard Apparatus Manufacturing
369,335314,Relay and Industrial Control Manufacturing
370,335910,Battery Manufacturing
371,335921,Fiber Optic Cable Manufacturing
372,335929,Other Communication and Energy Wire Manufacturing
373,335931,Current-Carrying Wiring Device Manufacturing
374,335932,Noncurrent-Carrying Wiring Device Manufacturing
375,335991,Carbon and Graphite Product Manufacturing
376,335999,All Other Miscellaneous Electrical Equipment and Component Manufacturing
377,336110,Automobile and Light Duty Motor Vehicle Manufacturing
378,336120,Heavy Duty Truck Manufacturing
379,336211,Motor Vehicle Body Manufacturing
380,336212,Truck Trailer Manufacturing
381,336213,Motor Home Manufacturing
382,336214,Travel Trailer and Camper Manufacturing
383,336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing
384,336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing
385,336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing
386,336340,Motor Vehicle Brake System Manufacturing
387,336350,Motor Vehicle Transmission and Power Train Parts Manufacturing
388,336360,Motor Vehicle Seating and Interior Trim Manufacturing
389,336370,Motor Vehicle Metal Stamping
390,336390,Other Motor Vehicle Parts Manufacturing
391,336411,Aircraft Manufacturing
392,336412,Aircraft Engine and Engine Parts Manufacturing
393,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing
394,336414,Guided Missile and Space Vehicle Manufacturing
395,336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing
396,336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing
397,336510,Railroad Rolling Stock Manufacturing
398,336611,Ship Building and Repairing
399,336612,Boat Building
400,336991,"Motorcycle, Bicycle, and Parts Manufacturing"
401,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing"
402,336999,All Other Transportation Equipment Manufacturing
403,337110,Wood Kitchen Cabinet and Countertop Manufacturing
404,337121,Upholstered Household Furniture Manufacturing
405,337122,Nonupholstered Wood Household Furniture Manufacturing
406,337126,Household Furniture (except Wood and Upholstered) Manufacturing
407,337127,Institutional Furniture Manufacturing
408,337211,Wood Office Furniture Manufacturing
409,337212,Custom Architectural Woodwork and Millwork Manufacturing
410,337214,Office Furniture (except Wood) Manufacturing
411,337215,"Showcase, Partition, Shelving, and Locker Manufacturing"
412,337910,Mattress Manufacturing
413,337920,Blind and Shade Manufacturing
414,339112,Surgical and Medical Instrument Manufacturing
415,339113,Surgical Appliance and Supplies Manufacturing
416,339114,Dental Equipment and Supplies Manufacturing
417,339115,Ophthalmic Goods Manufacturing
418,339116,Dental Laboratories
419,339910,Jewelry and Silverware Manufacturing
420,339920,Sporting and Athletic Goods Manufacturing
421,339930,"Doll, Toy, and Game Manufacturing"
422,339940,Office Supplies (except Paper) Manufacturing
423,339950,Sign Manufacturing
424,339991,"Gasket, Packing, and Sealing Device Manufacturing"
425,339992,Musical Instrument Manufacturing
426,339993,"Fastener, Button, Needle, and Pin Manufacturing"
427,339994,"Broom, Brush, and Mop Manufacturing"
428,339995,Burial Casket Manufacturing
429,339999,All Other Miscellaneous Manufacturing
430,423110,Automobile and Other Motor Vehicle Merchant Wholesalers
431,423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers
432,423130,Tire and Tube Merchant Wholesalers
433,423140,Motor Vehicle Parts (Used) Merchant Wholesalers
434,423210,Furniture Merchant Wholesalers
435,423220,Home Furnishing Merchant Wholesalers
436,423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers"
437,423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers"
438,423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers"
439,423390,Other Construction Material Merchant Wholesalers
440,423410,Photographic Equipment and Supplies Merchant Wholesalers
