commuting_zone_geoid,commuting_zone_name,industrial_diversity,economic_complexity_index,economic_complexity_percentile_score
230,"Bangor, ME",230,0.41654381651655925,71.26
231,"Cumberland, MD-WV-PA",196,-0.23523203988355063,46.09
232,"Baltimore, MD",238,2.317226297894646,96.94
233,"Germantown, MD",232,2.3641544828587335,97.45
234,"Boston, MA-NH",288,2.9838119569520494,99.32
235,"Pittsfield, MA",210,1.1749153155309573,87.07
236,"Providence, RI-MA",299,1.5006074894300714,92.52
237,"Vineyard Haven--Edgartown--Oak Bluffs, MA",163,1.3799047765565615,90.82
238,"Springfield, MA-CT",250,1.133641104505251,86.73
239,"Nantucket, MA",146,1.7104129852396832,94.05
240,"Alpena, MI",186,-0.05674399310568854,53.74
241,"Marquette, MI",207,0.018428046383542524,56.46
242,"Grand Rapids, MI",340,0.8890554483084039,82.31
243,"Traverse City--Garfield, MI",271,0.5908114539453152,76.19
244,"Saginaw, MI",260,0.0889887450205831,58.84
245,"Houghton--Hancock, MI",141,0.11624423674449798,59.69
246,"Kalamazoo, MI",245,0.5128284659613802,73.64
247,"Petoskey, MI",210,0.7834957583885996,80.61
248,"Sault Ste. Marie, MI",139,0.07073545985257143,58.5
249,"Lansing, MI",216,0.7912801214429925,80.95
250,"Houghton Lake, MI",183,-0.39334646070247,38.61
251,"Marinette--Menominee, WI-MI",196,-0.4477104979677017,36.73
252,"Detroit, MI",305,1.3062458701264783,89.63
253,"Ironwood, MI-WI",141,-0.3218354493931752,41.5
254,"Jackson, MI",224,-0.03058021912481694,55.27
255,"Cadillac, MI",186,-0.4600327904674892,36.39
256,"Ludington, MI",161,-0.0484147417724406,54.59
257,"Brainerd, MN",220,-0.24027791208880694,45.92
258,"Minneapolis, MN",321,2.0319209344031517,95.75
259,"Fargo, ND-MN",249,0.3181967063420953,68.03
260,"St. Cloud, MN",267,-0.03649338926074579,55.1
261,"Milbank, SD",149,-1.192362100412988,9.35
262,"Mankato, MN",241,0.05343051634714268,57.99
263,"Duluth, MN-WI",219,0.15398942982846187,61.73
264,"Willmar, MN",185,-1.002761240464291,15.31
265,"Grand Marais, MN",107,0.7281915466983,79.59
266,"Worthington, MN",134,-1.302273294785707,6.8
267,"Rochester, MN",176,0.12283179002141918,60.2
268,"Alexandria, MN",215,-0.6072360033277462,28.91
269,"La Crosse, WI-MN",204,-0.0909785116358458,52.55
270,"Grafton, ND",112,-1.3828549486331403,5.1
271,"International Falls, MN",98,-0.24105583155306154,45.75
272,"Roseau, MN",103,-0.6534815349635974,26.7
273,"Otsego, MN",242,0.018906398187807382,56.63
274,"Grand Forks, ND-MN",177,-0.3384601302356481,40.48
275,"Sioux Falls, SD",238,0.33998103111377664,68.71
276,"Eau Claire, WI",256,0.17125662150744167,62.07
277,"Tupelo, MS",230,-0.21297017986262498,47.28
278,"McComb, MS",174,-1.0280614388787868,14.46
279,"Jackson, MS",235,0.3413206781173173,68.88
280,"Greenville, MS",155,-0.7795517849505946,21.6
281,"Greenwood, MS",151,-0.829688239556717,20.41
282,"Starkville, MS",186,-0.40478638557704444,38.27
283,"Oxford, MS",171,-0.25470627518019123,45.07
284,"Hattiesburg, MS",182,-0.9361080848360461,16.84
285,"Gulfport--Biloxi, MS",179,0.15513004576302375,61.9
286,"Kirksville, MO",141,-1.1183493478708864,11.39
287,"Nebraska, NE",112,-1.5613660001876981,2.38
288,"Columbia, MO",208,0.07911027855170426,58.67
289,"Springfield, MO",281,0.3416794080152329,69.05
290,"Sedalia, MO",183,-0.8065002742783367,21.26
291,"Cape Girardeau, MO-IL",226,-0.5564547094123282,31.97
292,"Poplar Bluff, MO",163,-0.7140787925923945,25
293,"Village of Four Seasons, MO",202,0.11584529395495996,59.52
294,"Chillicothe, MO",160,-0.9888530156407208,15.82
295,"Nevada, MO",146,-0.9252899543757456,17.52
