"csa_geoid","csa_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"521","Springfield-Amherst Town-Northampton, MA CSA",250,-0.0260725031805536,58.56,"25011|25013|25015","25","Massachusetts",3,1
"266","Grand Rapids-Wyoming, MI CSA",334,-0.66090918626901,27.62,"26005|26015|26067|26081|26107|26117|26121|26139","26","Michigan",8,1
"474","Saginaw-Midland-Bay City, MI CSA",240,-0.365814108511118,42.54,"26017|26111|26145","26","Michigan",3,1
"310","Kalamazoo-Battle Creek-Portage, MI CSA",242,-0.716397963715006,24.86,"26025|26077|26149","26","Michigan",3,1
"330","Lansing-East Lansing-Owosso, MI CSA",216,-0.112099770827022,54.7,"26037|26045|26065|26155","26","Michigan",4,1
"361","Marinette-Iron Mountain, WI-MI CSA",192,-0.96790877384481,11.05,"26043|26109|55037|55075","26|55","Michigan|Wisconsin",4,2
"220","Detroit-Warren-Ann Arbor, MI CSA",301,0.0465842566609877,63.54,"26049|26087|26091|26093|26099|26115|26125|26147|26161|26163","26","Michigan",10,1
"394","Mount Pleasant-Alma, MI CSA",164,-0.904020517263071,14.92,"26057|26073","26","Michigan",2,1
"378","Minneapolis-St. Paul, MN-WI CSA",348,0.289161839137788,71.82,"27003|27009|27019|27025|27037|27049|27053|27059|27079|27085|27095|27123|27131|27139|27141|27145|27147|27163|27171|55093|55109","27|55","Minnesota|Wisconsin",21,2
"359","Mankato-New Ulm, MN CSA",206,-0.679670595206771,27.07,"27013|27015|27103","27","Minnesota",3,1
"228","Duluth-Grand Rapids, MN-WI CSA",216,-0.267852193126746,49.72,"27017|27061|27137|55031","27|55","Minnesota|Wisconsin",4,2
"244","Fargo-Wahpeton, ND-MN CSA",235,0.0314552067985517,62.98,"27027|27167|38017|38077","27|38","Minnesota|North Dakota",4,2
"462","Rochester-Austin-Winona, MN CSA",173,-0.915257328237163,13.81,"27039|27045|27099|27109|27157|27169","27","Minnesota",6,1
"317","La Crosse-Onalaska-Sparta, WI-MN CSA",188,-0.695939272710552,26.52,"27055|55063|55081|55123","27|55","Minnesota|Wisconsin",4,2
"539","Tupelo-Corinth, MS CSA",203,-1.1786704745089,6.63,"28003|28057|28081|28117","28","Mississippi",4,1
"298","Jackson-Vicksburg-Brookhaven, MS CSA",236,-0.500597661807529,37.02,"28029|28049|28051|28085|28089|28121|28123|28127|28149|28163","28","Mississippi",10,1
"279","Hattiesburg-Laurel, MS CSA",171,-0.967309274178318,11.6,"28035|28061|28067|28073|28111","28","Mississippi",5,1
"523","Starkville-Columbus, MS CSA",171,-0.658349243358907,28.18,"28087|28103|28105|28155","28","Mississippi",4,1
"190","Columbia-Jefferson City-Moberly, MO CSA",213,-0.810985740423895,20.44,"29007|29019|29027|29051|29053|29089|29135|29151|29175","29","Missouri",9,1
"339","Lincoln-Beatrice, NE CSA",229,-0.0180223116530756,59.67,"31067|31109|31159","31","Nebraska",3,1
"332","Las Vegas-Henderson, NV CSA",234,2.45522879336401,97.24,"32003|32023","32","Nevada",2,1
"313","Keene-Brattleboro, NH-VT CSA",228,0.0180963413891693,62.43,"33005|50025","33|50","New Hampshire|Vermont",2,2
"106","Allentown-Bethlehem-East Stroudsburg, PA-NJ CSA",283,-0.297157615694063,46.96,"34041|42025|42077|42089|42095","34|42","New Jersey|Pennsylvania",5,2
"105","Albuquerque-Santa Fe-Los Alamos, NM CSA",227,1.46046064650003,90.06,"35001|35028|35033|35039|35043|35047|35049|35057|35061","35","New Mexico",9,1
"238","El Paso-Las Cruces, TX-NM CSA",213,0.303744720167666,72.38,"35013|48141|48229","35|48","New Mexico|Texas",3,2
"104","Albany-Schenectady, NY CSA",248,0.237437352275304,67.96,"36001|36021|36035|36057|36083|36091|36093|36095|36113|36115","36","New York",10,1
"160","Buffalo-Cheektowaga-Olean, NY CSA",297,-0.145037171298634,53.59,"36009|36029|36063","36","New York",3,1
"532","Syracuse-Auburn, NY CSA",256,-0.262498605802074,50.83,"36011|36053|36067|36075","36","New York",4,1
"236","Elmira-Corning, NY CSA",190,-0.524894158933563,34.25,"36015|36101","36","New York",2,1
"296","Ithaca-Cortland, NY CSA",165,0.457688945204572,77.9,"36023|36109","36","New York",2,1
"464","Rochester-Batavia-Seneca Falls, NY CSA",255,0.00875771237607009,61.33,"36037|36051|36055|36069|36073|36099|36117","36","New York",7,1
"268","Greensboro--Winston-Salem--High Point, NC CSA",330,-0.363533740459784,43.09,"37001|37057|37059|37067|37081|37151|37157|37169|37171|37197","37","North Carolina",10,1
"172","Charlotte-Concord, NC-SC CSA",365,0.209438855949712,66.85,"37003|37007|37023|37025|37027|37035|37045|37071|37097|37109|37111|37119|37159|37167|37179|45023|45057|45091","37|45","North Carolina|South Carolina",18,2
"274","Greenville-Washington, NC CSA",187,0.170970207443007,65.75,"37013|37147","37","North Carolina",2,1
"120","Asheville-Waynesville-Brevard, NC CSA",301,0.741834857299892,81.22,"37021|37087|37089|37115|37175","37","North Carolina",5,1
"545","Virginia Beach-Chesapeake, VA-NC CSA",212,1.08517468200516,86.19,"37029|37053|37055|37073|37139|51073|51093|51095|51115|51181|51199|51550|51650|51700|51710|51735|51740|51800|51810|51830","37|51","North Carolina|Virginia",20,2
"404","New Bern-Morehead City, NC CSA",174,0.594741342061843,79.01,"37031|37049|37103|37137","37","North Carolina",4,1
"450","Raleigh-Durham-Cary, NC CSA",246,1.67916637904412,93.37,"37037|37063|37069|37085|37101|37105|37135|37145|37181|37183","37","North Carolina",10,1
"246","Fayetteville-Lumberton-Pinehurst, NC CSA",170,-0.340577118704554,45.3,"37051|37093|37125|37153|37155|37165","37","North Carolina",6,1
"468","Rocky Mount-Wilson-Roanoke Rapids, NC CSA",228,-0.649780751895686,28.73,"37065|37083|37127|37131|37195","37","North Carolina",5,1
"338","Lima-Van Wert-Celina, OH CSA",237,-1.46271969472768,0.55,"39003|39011|39107|39161","39","Ohio",4,1
"360","Mansfield-Ashland-Bucyrus, OH CSA",231,-1.2268700886606,4.42,"39005|39033|39139","39","Ohio",3,1
"184","Cleveland-Akron-Canton, OH CSA",381,-0.795554155923729,21.55,"39007|39019|39031|39035|39043|39055|39077|39085|39093|39103|39123|39133|39143|39151|39153|39157|39169","39","Ohio",17,1
"198","Columbus-Marion-Zanesville, OH CSA",280,-0.512646949609613,35.91,"39009|39041|39045|39047|39049|39059|39073|39083|39089|39091|39097|39101|39117|39119|39127|39129|39141|39159","39","Ohio",18,1
"212","Dayton-Springfield-Kettering, OH CSA",281,-1.2232499833813,4.97,"39021|39023|39037|39057|39109|39113|39149","39","Ohio",7,1
"566","Youngstown-Warren-Salem, OH CSA",284,-0.834246597962697,18.23,"39029|39099|39155","39","Ohio",3,1
"248","Findlay-Tiffin, OH CSA",183,-1.43161769400853,1.66,"39063|39147","39","Ohio",2,1
"430","Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA",321,-0.481262330375132,38.12,"39081|42003|42005|42007|42019|42051|42063|42073|42085|42125|42129|54009|54029","39|42|54","Ohio|Pennsylvania|West Virginia",13,3
"425","Parkersburg-Marietta-Vienna, WV-OH CSA",199,-0.812724620979418,19.89,"39167|54105|54107","39|54","Ohio|West Virginia",3,2
"555","Weatherford-Elk City, OK CSA",146,-0.735131453261231,23.76,"40009|40039|40149","40","Oklahoma",3,1
"206","Dallas-Fort Worth, TX-OK CSA",379,1.28012458596382,88.4,"40013|48085|48097|48113|48121|48139|48147|48181|48213|48221|48223|48231|48251|48257|48349|48363|48367|48397|48439|48497","40|48","Oklahoma|Texas",20,2
"416","Oklahoma City-Shawnee, OK CSA",270,0.371431575502173,75.69,"40017|40027|40051|40081|40083|40087|40109|40125","40","Oklahoma",8,1
"334","Lawton-Duncan, OK CSA",134,-0.422206799344617,40.33,"40031|40033|40137","40","Oklahoma",3,1
"538","Tulsa-Bartlesville-Muskogee, OK CSA",302,0.0504414900126435,64.09,"40037|40101|40111|40113|40117|40131|40143|40145|40147","40","Oklahoma",9,1
"440","Portland-Vancouver-Salem, OR-WA CSA",342,1.04917646827799,85.64,"41003|41005|41009|41043|41047|41051|41053|41067|41071|53011|53015|53059","41|53","Oregon|Washington",12,2
"366","Medford-Grants Pass, OR CSA",261,0.38528242034512,76.24,"41029|41033","41","Oregon",2,1
"276","Harrisburg-York-Lebanon, PA CSA",279,-0.832373650870403,18.78,"42001|42041|42043|42075|42099|42133","42","Pennsylvania",6,1
"107","Altoona-Huntingdon, PA CSA",219,-0.831793180078098,19.34,"42013|42061","42","Pennsylvania",2,1
"306","Johnstown-Somerset, PA CSA",243,-0.907350473800801,14.36,"42021|42111","42","Pennsylvania",2,1
"524","State College-DuBois, PA CSA",179,-0.720515891582848,24.31,"42027|42033","42","Pennsylvania",2,1
"558","Williamsport-Lock Haven, PA CSA",220,-0.806189508034479,20.99,"42035|42081","42","Pennsylvania",2,1
"146","Bloomsburg-Berwick-Sunbury, PA CSA",221,-1.10274339981793,7.18,"42037|42093|42097|42109|42119","42","Pennsylvania",5,1
"240","Erie-Meadville, PA CSA",246,-0.998910144511499,10.5,"42039|42049","42","Pennsylvania",2,1
"273","Greenville-Spartanburg-Anderson, SC CSA",322,-0.626899438852252,29.83,"45001|45007|45021|45045|45047|45059|45073|45077|45083|45087","45","South Carolina",10,1
"192","Columbia-Sumter-Orangeburg, SC CSA",289,-0.0510591277993115,56.35,"45017|45039|45055|45063|45071|45075|45079|45081|45085","45","South Carolina",9,1
"396","Myrtle Beach-Conway, SC CSA",247,1.22829085116979,86.74,"45043|45051","45","South Carolina",2,1
"452","Rapid City-Spearfish, SD CSA",262,0.405654262002399,76.8,"46033|46081|46093|46103","46","South Dakota",4,1
"315","Knoxville-Morristown-Sevierville, TN CSA",296,-0.265016876884231,50.28,"47001|47009|47013|47029|47057|47063|47089|47093|47105|47129|47145|47155|47173","47","Tennessee",13,1
"400","Nashville-Davidson--Murfreesboro, TN CSA",337,0.966581685002015,83.43,"47003|47015|47021|47031|47037|47043|47051|47081|47099|47111|47117|47119|47127|47147|47149|47159|47165|47169|47187|47189","47","Tennessee",20,1
"304","Johnson City-Kingsport-Bristol, TN-VA CSA",245,-1.08800344752749,9.39,"47019|47059|47073|47163|47171|47179|51169|51191|51520","47|51","Tennessee|Virginia",9,2
"542","Union City-Martin, TN CSA",144,-0.89574380781009,16.02,"47131|47183","47","Tennessee",2,1
"372","Midland-Odessa-Andrews, TX CSA",172,-0.34789220549458,44.2,"48003|48135|48317|48329","48","Texas",4,1
"204","Corpus Christi-Kingsville-Alice, TX CSA",226,0.247860422260183,69.06,"48007|48047|48249|48273|48355|48409","48","Texas",6,1
"108","Amarillo-Borger, TX CSA",256,-0.333383802704781,46.41,"48011|48065|48233|48359|48375|48381","48","Texas",6,1
"484","San Antonio-New Braunfels-Kerrville, TX CSA",253,0.676117302079688,80.66,"48013|48019|48029|48091|48171|48187|48259|48265|48325|48493","48","Texas",10,1
