"commuting_zone_geoid","commuting_zone_name","industrial_diversity","economic_complexity_index","economic_complexity_percentile_score","constituent_county_geoids","constituent_state_fips","constituent_state_names","n_constituent_counties","n_constituent_states"
"191","Garden, KS",132,-1.41646216121154,4.93,"20055|20067|20071|20075|20093|20187","20","Kansas",6,1
"192","Colby, KS",104,-1.55700366583299,2.55,"20063|20109|20179|20193","20","Kansas",4,1
"193","Hutchinson, KS",201,-0.499027032702016,34.18,"20079|20113|20115|20155|20159","20","Kansas",5,1
"194","Liberal, KS",101,-1.62250302951201,2.04,"20081|20119|20175|40007","20|40","Kansas|Oklahoma",4,2
"195","Beloit, KS",94,-1.78326922955287,0.85,"20089|20123|20141|20183","20","Kansas",4,1
"196","Scott City, KS",97,-1.67885235672929,1.36,"20101|20135|20171|20203","20","Kansas",4,1
"197","Hugoton, KS",69,-2.12279288551676,0.17,"20129|20189|40025","20|40","Kansas|Oklahoma",3,2
"198","Goodland, KS",108,-1.14933100635964,10.2,"20181|20199","20","Kansas",2,1
"199","Bardstown, KY",182,-0.651062376342748,26.87,"21001|21087|21155|21179|21207|21217|21229","21","Kentucky",7,1
"200","Bowling Green, KY",254,-0.0791510392088281,53.06,"21003|21031|21061|21141|21177|21213|21219|21227","21","Kentucky",8,1
"201","Lexington-Fayette, KY",236,1.07687055096129,85.2,"21005|21017|21049|21067|21073|21079|21097|21113|21181|21187|21209|21239","21","Kentucky",12,1
"202","Glasgow, KY",181,-0.480260413378458,35.37,"21009|21099|21169|21171","21","Kentucky",4,1
"203","Mount Sterling, KY",163,-0.592007804751017,29.42,"21011|21165|21173|21175|21197|21205|21237","21","Kentucky",7,1
"204","Middlesborough, KY-TN",135,-0.522572391932648,33.33,"21013|47025|47067","21|47","Kentucky|Tennessee",3,2
"205","Cincinnati, OH-KY",334,1.41499239676794,91.33,"21015|21037|21077|21081|21117|21191|39001|39015|39017|39025|39061|39165","21|39","Kentucky|Ohio",12,2
"206","Huntington, WV-KY-OH",223,-0.113912647388367,51.87,"21019|21043|21063|21089|39087|54011|54099","21|39|54","Kentucky|Ohio|West Virginia",7,3
"207","Danville, KY",182,-0.311244414655487,42.35,"21021|21045|21137|21167","21","Kentucky",4,1
"208","Maysville, KY-OH",159,-0.560873593440807,31.29,"21023|21069|21135|21161|21201","21","Kentucky",5,1
"209","Hazard, KY",121,-0.594425246030873,29.08,"21025|21119|21129|21131|21133|21189|21193","21","Kentucky",7,1
"210","Elizabethtown--Radcliff, KY",171,-0.306015531171075,43.37,"21027|21085|21093|21123|21163","21","Kentucky",5,1
"211","Henderson, KY",200,-0.757180794978045,22.96,"21033|21055|21101|21107|21143|21225|21233","21","Kentucky",7,1
