industry_code,industry_description,industry_employment_share_nation
331523,Nonferrous Metal Die-Casting Foundries,1.1960454160873925e-4
331524,Aluminum Foundries (except Die-Casting),8.854177936359187e-5
331529,Other Nonferrous Metal Foundries (except Die-Casting),7.611093803667877e-5
332111,Iron and Steel Forging,1.1681663718562908e-4
332112,Nonferrous Forging,3.95641498069772e-5
332114,Custom Roll Forming,3.465950313669077e-5
332117,Powder Metallurgy Part Manufacturing,4.690104231141737e-5
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)",2.7464874067833177e-4
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing",5.5803979893036715e-5
332216,Saw Blade and Handtool Manufacturing,1.478564537153599e-4
332311,Prefabricated Metal Building and Component Manufacturing,2.1956755082091624e-4
332312,Fabricated Structural Metal Manufacturing,5.780541992024482e-4
332313,Plate Work Manufacturing,2.825248574950608e-4
332321,Metal Window and Door Manufacturing,3.923487879074978e-4
332322,Sheet Metal Work Manufacturing,6.713858966592439e-4
332323,Ornamental and Architectural Metal Work Manufacturing,2.645640987527604e-4
332410,Power Boiler and Heat Exchanger Manufacturing,1.30716004299201e-4
332420,Metal Tank (Heavy Gauge) Manufacturing,2.2263080382902496e-4
332431,Metal Can Manufacturing,1.2440593255965123e-4
332439,Other Metal Container Manufacturing,8.413046557476114e-5
332510,Hardware Manufacturing,1.3182887149690344e-4
332613,Spring Manufacturing,8.905805796046412e-5
332618,Other Fabricated Wire Product Manufacturing,1.396246783096745e-4
332710,Machine Shops,0.0015385905286832802
332721,Precision Turned Product Manufacturing,2.2667498617119097e-4
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",2.061959351619248e-4
332811,Metal Heat Treating,1.0495943874412959e-4
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers",3.440767390999419e-4
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",3.060786343701439e-4
332911,Industrial Valve Manufacturing,1.584459013800953e-4
332912,Fluid Power Valve and Hose Fitting Manufacturing,2.0692446162640012e-4
332913,Plumbing Fixture Fitting and Trim Manufacturing,6.630738112496004e-5
332919,Other Metal Valve and Pipe Fitting Manufacturing,8.550147207089968e-5
332991,Ball and Roller Bearing Manufacturing,1.1502113495428445e-4
332992,Small Arms Ammunition Manufacturing,7.000737773587788e-5
332993,Ammunition (except Small Arms) Manufacturing,1.0330161080528425e-4
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",1.4536684359266482e-4
332996,Fabricated Pipe and Pipe Fitting Manufacturing,1.8824664927733273e-4
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,5.069282178400138e-4
333111,Farm Machinery and Equipment Manufacturing,3.8331391246223336e-4
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,9.231061312075932e-5
333120,Construction Machinery Manufacturing,4.382058001674624e-4
333131,Mining Machinery and Equipment Manufacturing,5.5631887027412625e-5
